LNR,RESPONSE
1754,0.4945761136957823
1770,0.4949922324325135
1465,0.4960068739971195
1470,0.4932343641580637
1478,0.49291062020715976
1782,0.48361006049009153
1485,0.4960068739971195
1519,0.49291062020715976
1835,0.4960068739971195
1539,0.4949922324325135
1856,0.49291062020715976
2502,0.49159800847891166
2182,0.49291062020715976
2191,0.4945761136957823
2522,0.4965410449390893
2215,0.5000585169143786
2550,0.48271604105087434
2570,0.49617737185168126
2574,0.494574384970637
2247,0.49940748545703206
2674,0.4939251681325703
11434,0.4960068739971195
11127,0.4945761136957823
11443,0.49159800847891166
11191,0.4960068739971195
10936,0.4960068739971195
11244,0.49291062020715976
11247,0.4949922324325135
11252,0.5000585169143786
11259,0.4961868869213183
10945,0.4945761136957823
10951,0.4929229846199849
11271,0.49291062020715976
10963,0.4950045980897371
11282,0.494574384970637
11291,0.49762057039805097
10980,0.4960068739971195
10994,0.4958871923267314
10998,0.49291062020715976
11303,0.5014894006787421
11636,0.4945761136957823
11949,0.4935615327095861
11950,0.4939251681325703
11956,0.4945761136957823
11648,0.4942489289568435
11653,0.4971920510133962
11967,0.4960068739971195
11972,0.4945761136957823
11975,0.4935615327095861
12110,0.48209138668193624
12113,0.4939899972184857
11716,0.4945761136957823
12000,0.49291062020715976
11722,0.49291062020715976
12023,0.49940748545703206
12071,0.4939251681325703
11785,0.4949922324325135
11800,0.4945761136957823
11806,0.4935615327095861
11505,0.4950045980897371
11848,0.49367947411264596
11854,0.49159800847891166
11877,0.4939251681325703
11563,0.4929229846199849
11567,0.4935738975575974
11894,0.49291062020715976
11906,0.4945761136957823
11610,0.4945761136957823
11923,0.4945761136957823
12596,0.4958871923267314
12603,0.4949922324325135
12608,0.4960068739971195
12633,0.4945761136957823
12637,0.4949922324325135
21184,0.4945761136957823
21247,0.49617737185168126
20991,0.49249281629148894
21018,0.4935615327095861
21019,0.4935615327095861
21374,0.4961868869213183
21392,0.4935615327095861
21713,0.4936805106858647
22019,0.4939251681325703
21722,0.494574384970637
21728,0.4960068739971195
22039,0.4949922324325135
22044,0.4949922324325135
61900,0.48328319354515187
63176,0.4960068739971195
64473,0.49291062020715976
64780,0.49367947411264596
64784,0.4945761136957823
65105,0.49511977219651265
65433,0.4935615327095861
66055,0.4929229846199849
66071,0.4939251681325703
61280,0.4949922324325135
61281,0.49159800847891166
61284,0.49291062020715976
61597,0.4960068739971195
62235,0.4955890105607321
62240,0.494574384970637
62241,0.4945761136957823
62557,0.48271604105087434
62565,0.4939251681325703
62566,0.4960068739971195
63515,0.49469406072116895
63524,0.48361006049009153
64797,0.49249281629148894
65116,0.4960068739971195
75253,0.4935615327095861
76212,0.48271604105087434
71422,0.494574384970637
72059,0.48107803937355953
72060,0.4949922324325135
72383,0.4949922324325135
72700,0.4958871923267314
72715,0.4958871923267314
73028,0.4961868869213183
73346,0.49291062020715976
73658,0.5053000751409865
73662,0.4939251681325703
73666,0.4935615327095861
73668,0.48361006049009153
73985,0.49159800847891166
74299,0.49469406072116895
74310,0.4932343641580637
74619,0.48140480439413225
74620,0.4939251681325703
74627,0.49367947411264596
74952,0.49159800847891166
75911,0.49291062020715976
75913,0.5000585169143786
76221,0.48361006049009153
